"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Survival",3,"Line",3,"Naive","-0.03702 (0.0004583)","0.08365 (0.0003770)","0.9287 (0.001572)","0.2722 (0.0001479)",26788,26788
"Survival",3,"Line",3,"CBAE-SI","-0.005777 (0.0004762)","0.07816 (0.0003389)","—","—",26788,
"Survival",3,"Line",3,"CBAE-MI","0.01204 (0.0004969)","0.08220 (0.0003398)","—","—",26779,
"Survival",3,"Line",3,"CMUE-MLE","-0.006652 (0.0004728)","0.07766 (0.0003474)","0.9695 (0.001051)","0.3188 (0.0002505)",26788,26788
"Survival",3,"Line",3,"CMUE-ZERO","-0.02539 (0.0004922)","0.08446 (0.0003771)","0.9415 (0.001433)","0.3024 (0.0002352)",26788,26788
"Survival",3,"Line",3,"RB","0.001625 (0.0005003)","0.08189 (0.0003712)","0.9486 (0.001349)","0.3223 (0.0002181)",26788,26788
"Survival",3,"Line",4,"Stage 2","-0.001548 (0.0004682)","0.1146 (0.0003340)","0.9500 (0.0008908)","0.4497 (0.00001032)",59850,59850
"Survival",3,"Line",4,"Naive","-0.02741 (0.0003021)","0.07883 (0.0002253)","0.9512 (0.0008807)","0.2829 (0.0001190)",59850,59850
"Survival",3,"Line",4,"CBAE-SI","-0.002074 (0.0003171)","0.07761 (0.0002195)","—","—",59850,
"Survival",3,"Line",4,"CBAE-MI","0.01014 (0.0003280)","0.08087 (0.0002302)","—","—",59847,
"Survival",3,"Line",4,"CMUE-MLE","-0.002499 (0.0003130)","0.07661 (0.0002274)","0.9650 (0.0007507)","0.3310 (0.0001841)",59850,59850
"Survival",3,"Line",4,"CMUE-ZERO","-0.01787 (0.0003189)","0.08005 (0.0002338)","0.9500 (0.0008911)","0.3111 (0.0001586)",59850,59850
"Survival",3,"Line",4,"RB","0.001141 (0.0003377)","0.08262 (0.0002294)","0.9509 (0.0008833)","0.3248 (0.0001371)",59850,59850
"Survival",4,"H0",1,"Stage 2","-0.0009579 (0.0008804)","0.1249 (0.0006328)","0.9555 (0.001454)","0.4955 (0.00001024)",20136,20136
"Survival",4,"H0",1,"Naive","-0.03277 (0.0004237)","0.06848 (0.0003823)","0.9369 (0.001714)","0.2494 (0.00002676)",20136,20136
"Survival",4,"H0",1,"CBAE-SI","-0.0006946 (0.0004603)","0.06532 (0.0003628)","—","—",20136,
"Survival",4,"H0",1,"CBAE-MI","0.009294 (0.0004799)","0.06872 (0.0003732)","—","—",20135,
"Survival",4,"H0",1,"CMUE-MLE","-0.003723 (0.0004632)","0.06583 (0.0004073)","0.9727 (0.001148)","0.3503 (0.001060)",20136,20136
"Survival",4,"H0",1,"CMUE-ZERO","-0.006138 (0.0004783)","0.06815 (0.0004173)","0.9674 (0.001251)","0.3591 (0.001085)",20136,20136
"Survival",4,"H0",1,"RB","0.0004056 (0.0004898)","0.06950 (0.0003763)","0.9579 (0.001415)","0.2744 (0.00007545)",20136,20133
"Survival",4,"H0",2,"Stage 2","-0.002340 (0.0008963)","0.1263 (0.0006430)","0.9518 (0.001520)","0.4955 (0.00001046)",19860,19860
"Survival",4,"H0",2,"Naive","-0.03335 (0.0004295)","0.06910 (0.0003814)","0.9329 (0.001776)","0.2494 (0.00002739)",19860,19860
"Survival",4,"H0",2,"CBAE-SI","-0.001347 (0.0004668)","0.06580 (0.0003606)","—","—",19860,
"Survival",4,"H0",2,"CBAE-MI","0.008587 (0.0004873)","0.06920 (0.0003729)","—","—",19860,
"Survival",4,"H0",2,"CMUE-MLE","-0.004483 (0.0004695)","0.06631 (0.0004061)","0.9710 (0.001190)","0.3510 (0.001069)",19860,19860
"Survival",4,"H0",2,"CMUE-ZERO","-0.006895 (0.0004839)","0.06854 (0.0004108)","0.9665 (0.001277)","0.3585 (0.001090)",19860,19860
"Survival",4,"H0",2,"RB","-0.0003891 (0.0004983)","0.07023 (0.0003778)","0.9586 (0.001414)","0.2744 (0.00008009)",19860,19859
"Survival",4,"H0",3,"Stage 2","-0.001121 (0.0008910)","0.1260 (0.0006366)","0.9507 (0.001530)","0.4955 (0.00001032)",19999,19999
"Survival",4,"H0",3,"Naive","-0.03248 (0.0004251)","0.06832 (0.0003685)","0.9352 (0.001740)","0.2493 (0.00002407)",19999,19999
"Survival",4,"H0",3,"CBAE-SI","-0.0002983 (0.0004626)","0.06542 (0.0003485)","—","—",19999,
"Survival",4,"H0",3,"CBAE-MI","0.009766 (0.0004831)","0.06900 (0.0003618)","—","—",19998,
"Survival",4,"H0",3,"CMUE-MLE","-0.003290 (0.0004656)","0.06592 (0.0003916)","0.9721 (0.001164)","0.3515 (0.001072)",19999,19999
"Survival",4,"H0",3,"CMUE-ZERO","-0.005735 (0.0004803)","0.06816 (0.0004005)","0.9675 (0.001254)","0.3592 (0.001085)",19999,19999
"Survival",4,"H0",3,"RB","0.0008642 (0.0004929)","0.06971 (0.0003657)","0.9582 (0.001414)","0.2744 (0.00007899)",19998,19998
"Survival",4,"H0",4,"Stage 2","-0.002336 (0.0008862)","0.1255 (0.0006421)","0.9512 (0.001522)","0.4956 (0.00001008)",20038,20038
"Survival",4,"H0",4,"Naive","-0.03320 (0.0004248)","0.06869 (0.0003934)","0.9363 (0.001726)","0.2494 (0.00002935)",20038,20038
"Survival",4,"H0",4,"CBAE-SI","-0.001183 (0.0004608)","0.06524 (0.0003647)","—","—",20038,
"Survival",4,"H0",4,"CBAE-MI","0.008764 (0.0004801)","0.06851 (0.0003692)","—","—",20036,
"Survival",4,"H0",4,"CMUE-MLE","-0.004143 (0.0004634)","0.06573 (0.0004048)","0.9734 (0.001137)","0.3498 (0.001063)",20038,20038
"Survival",4,"H0",4,"CMUE-ZERO","-0.006559 (0.0004791)","0.06814 (0.0004218)","0.9667 (0.001267)","0.3576 (0.001077)",20038,20038
"Survival",4,"H0",4,"RB","-0.0001369 (0.0004913)","0.06954 (0.0003796)","0.9574 (0.001426)","0.2744 (0.00007964)",20038,20036
"Survival",4,"H1",1,"Stage 2","-0.003635 (0.0007956)","0.1257 (0.0005628)","0.9526 (0.001346)","0.4973 (0.00002251)",24940,24940
"Survival",4,"H1",1,"Naive","-0.04526 (0.0004968)","0.09057 (0.0004516)","0.9171 (0.001746)","0.2873 (0.0001978)",24940,24940
"Survival",4,"H1",1,"CBAE-SI","-0.006605 (0.0005140)","0.08145 (0.0003958)","—","—",24940,
"Survival",4,"H1",1,"CBAE-MI","0.01223 (0.0005214)","0.08323 (0.0003719)","—","—",24932,
"Survival",4,"H1",1,"CMUE-MLE","-0.008554 (0.0005055)","0.08029 (0.0003933)","0.9695 (0.001089)","0.3386 (0.0003016)",24940,24940
"Survival",4,"H1",1,"CMUE-ZERO","-0.03551 (0.0005236)","0.08999 (0.0004480)","0.9322 (0.001592)","0.3122 (0.0002538)",24940,24940
"Survival",4,"H1",1,"RB","0.001535 (0.0005509)","0.08701 (0.0004127)","0.9473 (0.001415)","0.3441 (0.0002771)",24939,24939
"Survival",4,"H1",2,"Stage 2","-0.002615 (0.0007969)","0.1259 (0.0005659)","0.9531 (0.001338)","0.4973 (0.00002234)",24930,24930
"Survival",4,"H1",2,"Naive","-0.04526 (0.0004971)","0.09060 (0.0004541)","0.9179 (0.001738)","0.2872 (0.0001988)",24930,24930
"Survival",4,"H1",2,"CBAE-SI","-0.006646 (0.0005144)","0.08149 (0.0003983)","—","—",24930,
"Survival",4,"H1",2,"CBAE-MI","0.01213 (0.0005221)","0.08331 (0.0003726)","—","—",24921,
"Survival",4,"H1",2,"CMUE-MLE","-0.008642 (0.0005068)","0.08048 (0.0003965)","0.9685 (0.001106)","0.3383 (0.0003002)",24930,24930
"Survival",4,"H1",2,"CMUE-ZERO","-0.03551 (0.0005244)","0.09010 (0.0004503)","0.9319 (0.001595)","0.3118 (0.0002526)",24930,24930
"Survival",4,"H1",2,"RB","0.001491 (0.0005530)","0.08732 (0.0004154)","0.9475 (0.001413)","0.3440 (0.0002761)",24930,24930
"Survival",4,"H1",3,"Stage 2","-0.002654 (0.0007987)","0.1266 (0.0005637)","0.9510 (0.001363)","0.4973 (0.00002257)",25099,25099
"Survival",4,"H1",3,"Naive","-0.04471 (0.0004924)","0.08992 (0.0004524)","0.9182 (0.001729)","0.2871 (0.0001970)",25099,25099
"Survival",4,"H1",3,"CBAE-SI","-0.006004 (0.0005103)","0.08107 (0.0003973)","—","—",25099,
"Survival",4,"H1",3,"CBAE-MI","0.01273 (0.0005191)","0.08318 (0.0003724)","—","—",25080,
"Survival",4,"H1",3,"CMUE-MLE","-0.007937 (0.0005024)","0.07999 (0.0003963)","0.9695 (0.001086)","0.3386 (0.0003012)",25099,25099
"Survival",4,"H1",3,"CMUE-ZERO","-0.03489 (0.0005190)","0.08931 (0.0004478)","0.9337 (0.001571)","0.3119 (0.0002517)",25099,25099
"Survival",4,"H1",3,"RB","0.002313 (0.0005492)","0.08704 (0.0004149)","0.9470 (0.001414)","0.3438 (0.0002737)",25098,25098
"Survival",4,"H1",4,"Stage 2","-0.001620 (0.0008003)","0.1262 (0.0005712)","0.9511 (0.001367)","0.4973 (0.00002254)",24850,24850
"Survival",4,"H1",4,"Naive","-0.04440 (0.0004946)","0.08972 (0.0004584)","0.9194 (0.001726)","0.2868 (0.0001967)",24850,24850
"Survival",4,"H1",4,"CBAE-SI","-0.005782 (0.0005116)","0.08085 (0.0004017)","—","—",24850,
"Survival",4,"H1",4,"CBAE-MI","0.01295 (0.0005193)","0.08287 (0.0003735)","—","—",24840,
"Survival",4,"H1",4,"CMUE-MLE","-0.007718 (0.0005041)","0.07985 (0.0003991)","0.9683 (0.001111)","0.3382 (0.0003021)",24850,24850
"Survival",4,"H1",4,"CMUE-ZERO","-0.03453 (0.0005218)","0.08921 (0.0004546)","0.9343 (0.001572)","0.3120 (0.0002572)",24850,24850
"Survival",4,"H1",4,"RB","0.002465 (0.0005509)","0.08687 (0.0004164)","0.9469 (0.001423)","0.3434 (0.0002744)",24849,24849
"Survival",4,"Peak",1,"Stage 2","-0.001841 (0.001107)","0.1245 (0.0007972)","0.9550 (0.001845)","0.4958 (0.00002195)",12632,12632
"Survival",4,"Peak",1,"Naive","-0.03924 (0.0006321)","0.08116 (0.0005951)","0.9195 (0.002421)","0.2574 (0.0001619)",12632,12632
"Survival",4,"Peak",1,"CBAE-SI","-0.003477 (0.0006331)","0.07123 (0.0005197)","—","—",12632,
"Survival",4,"Peak",1,"CBAE-MI","0.01150 (0.0006484)","0.07376 (0.0004982)","—","—",12629,
"Survival",4,"Peak",1,"CMUE-MLE","-0.006857 (0.0006430)","0.07259 (0.0005214)","0.9757 (0.001370)","0.2958 (0.0004270)",12632,12632
"Survival",4,"Peak",1,"CMUE-ZERO","-0.02293 (0.0006820)","0.08001 (0.0005853)","0.9470 (0.001994)","0.2930 (0.0004984)",12632,12632
"Survival",4,"Peak",1,"RB","0.001490 (0.0006561)","0.07376 (0.0005464)","0.9611 (0.001720)","0.2956 (0.0002709)",12632,12629
"Survival",4,"Peak",2,"Stage 2","-0.002263 (0.001125)","0.1259 (0.0007961)","0.9508 (0.001933)","0.4958 (0.00002241)",12520,12520
"Survival",4,"Peak",2,"Naive","-0.03939 (0.0006470)","0.08241 (0.0006150)","0.9161 (0.002477)","0.2576 (0.0001690)",12520,12520
"Survival",4,"Peak",2,"CBAE-SI","-0.003652 (0.0006491)","0.07272 (0.0005377)","—","—",12520,
"Survival",4,"Peak",2,"CBAE-MI","0.01138 (0.0006645)","0.07520 (0.0005128)","—","—",12516,
"Survival",4,"Peak",2,"CMUE-MLE","-0.007009 (0.0006593)","0.07410 (0.0005414)","0.9734 (0.001438)","0.2965 (0.0004464)",12520,12520
"Survival",4,"Peak",2,"CMUE-ZERO","-0.02305 (0.0006980)","0.08143 (0.0006063)","0.9458 (0.002024)","0.2928 (0.0004944)",12520,12520
"Survival",4,"Peak",2,"RB","0.001471 (0.0006741)","0.07543 (0.0005685)","0.9581 (0.001790)","0.2960 (0.0002763)",12520,12519
"Survival",4,"Peak",3,"Stage 2","-0.003470 (0.001136)","0.1264 (0.0008018)","0.9515 (0.001931)","0.4958 (0.00002270)",12375,12375
"Survival",4,"Peak",3,"Naive","-0.04017 (0.0006519)","0.08290 (0.0006320)","0.9160 (0.002493)","0.2576 (0.0001714)",12375,12375
"Survival",4,"Peak",3,"CBAE-SI","-0.004418 (0.0006560)","0.07310 (0.0005556)","—","—",12375,
"Survival",4,"Peak",3,"CBAE-MI","0.01046 (0.0006727)","0.07553 (0.0005257)","—","—",12364,
"Survival",4,"Peak",3,"CMUE-MLE","-0.007794 (0.0006646)","0.07434 (0.0005577)","0.9714 (0.001498)","0.2960 (0.0004354)",12375,12375
"Survival",4,"Peak",3,"CMUE-ZERO","-0.02386 (0.0007017)","0.08162 (0.0006230)","0.9429 (0.002085)","0.2931 (0.0005043)",12375,12375
"Survival",4,"Peak",3,"RB","0.0007841 (0.0006822)","0.07589 (0.0005887)","0.9553 (0.001858)","0.2960 (0.0002751)",12375,12372
"Survival",4,"Peak",4,"Stage 2","-0.001787 (0.0005118)","0.1268 (0.0003626)","0.9511 (0.0008705)","0.4976 (0.00001311)",61320,61320
"Survival",4,"Peak",4,"Naive","-0.02672 (0.0003030)","0.07965 (0.0002745)","0.9407 (0.0009539)","0.2815 (0.0001178)",61320,61320
"Survival",4,"Peak",4,"CBAE-SI","0.001330 (0.0003100)","0.07678 (0.0002504)","—","—",61320,
"Survival",4,"Peak",4,"CBAE-MI","0.01063 (0.0003145)","0.07861 (0.0002429)","—","—",61318,
"Survival",4,"Peak",4,"CMUE-MLE","-0.002525 (0.0003130)","0.07754 (0.0002512)","0.9633 (0.0007594)","0.3200 (0.0001693)",61320,61320
"Survival",4,"Peak",4,"CMUE-ZERO","-0.01552 (0.0003203)","0.08081 (0.0002685)","0.9489 (0.0008892)","0.3090 (0.0001698)",61320,61320
"Survival",4,"Peak",4,"RB","0.001084 (0.0003272)","0.08103 (0.0002596)","0.9483 (0.0008940)","0.3184 (0.0001358)",61320,61320
"Survival",4,"Line",1,"Stage 2","0.0006930 (0.002005)","0.1234 (0.001460)","0.9575 (0.003276)","0.4951 (0.00003564)",3790,3790
"Survival",4,"Line",1,"Naive","-0.04390 (0.001071)","0.07921 (0.001139)","0.8905 (0.005072)","0.2511 (0.0001828)",3790,3790
"Survival",4,"Line",1,"CBAE-SI","-0.004853 (0.001078)","0.06654 (0.001009)","—","—",3790,
"Survival",4,"Line",1,"CBAE-MI","0.01243 (0.001119)","0.06996 (0.0009420)","—","—",3783,
"Survival",4,"Line",1,"CMUE-MLE","-0.007879 (0.001083)","0.06713 (0.001016)","0.9799 (0.002277)","0.3058 (0.001454)",3790,3790
"Survival",4,"Line",1,"CMUE-ZERO","-0.02343 (0.001170)","0.07572 (0.001151)","0.9441 (0.003733)","0.2984 (0.001326)",3790,3790
"Survival",4,"Line",1,"RB","0.002169 (0.001142)","0.07033 (0.001024)","0.9577 (0.003270)","0.2853 (0.0003936)",3790,3786
"Survival",4,"Line",2,"Stage 2","-0.002856 (0.001186)","0.1258 (0.0008421)","0.9505 (0.002046)","0.4958 (0.00002401)",11234,11234
"Survival",4,"Line",2,"Naive","-0.04072 (0.0006905)","0.08375 (0.0006577)","0.9129 (0.002661)","0.2579 (0.0001813)",11234,11234
"Survival",4,"Line",2,"CBAE-SI","-0.004741 (0.0006920)","0.07350 (0.0005766)","—","—",11234,
"Survival",4,"Line",2,"CBAE-MI","0.01072 (0.0007088)","0.07586 (0.0005485)","—","—",11227,
"Survival",4,"Line",2,"CMUE-MLE","-0.008162 (0.0007017)","0.07481 (0.0005795)","0.9722 (0.001550)","0.2965 (0.0004646)",11234,11234
"Survival",4,"Line",2,"CMUE-ZERO","-0.02445 (0.0007441)","0.08257 (0.0006493)","0.9419 (0.002208)","0.2933 (0.0005247)",11234,11234
"Survival",4,"Line",2,"RB","0.0009973 (0.0007195)","0.07625 (0.0006089)","0.9564 (0.001928)","0.2969 (0.0002974)",11232,11226
"Survival",4,"Line",3,"Stage 2","-0.002068 (0.0007607)","0.1258 (0.0005412)","0.9515 (0.001299)","0.4965 (0.00001743)",27344,27344
"Survival",4,"Line",3,"Naive","-0.03541 (0.0004489)","0.08225 (0.0004214)","0.9250 (0.001593)","0.2685 (0.0001530)",27344,27344
"Survival",4,"Line",3,"CBAE-SI","-0.002859 (0.0004532)","0.07500 (0.0003810)","—","—",27344,
"Survival",4,"Line",3,"CBAE-MI","0.01053 (0.0004612)","0.07699 (0.0003646)","—","—",27342,
"Survival",4,"Line",3,"CMUE-MLE","-0.006491 (0.0004572)","0.07588 (0.0003843)","0.9676 (0.001070)","0.3060 (0.0002440)",27344,27344
"Survival",4,"Line",3,"CMUE-ZERO","-0.02209 (0.0004772)","0.08194 (0.0004184)","0.9426 (0.001406)","0.3001 (0.0002882)",27344,27344
"Survival",4,"Line",3,"RB","0.001804 (0.0004752)","0.07859 (0.0003911)","0.9548 (0.001257)","0.3101 (0.0002120)",27340,27340
"Survival",4,"Line",4,"Stage 2","-0.001779 (0.0005326)","0.1267 (0.0003761)","0.9509 (0.0009082)","0.4976 (0.00001378)",56622,56622
"Survival",4,"Line",4,"Naive","-0.02813 (0.0003165)","0.08040 (0.0002883)","0.9397 (0.001001)","0.2821 (0.0001236)",56622,56622
"Survival",4,"Line",4,"CBAE-SI","0.0003379 (0.0003238)","0.07704 (0.0002625)","—","—",56622,
"Survival",4,"Line",4,"CBAE-MI","0.01046 (0.0003290)","0.07897 (0.0002537)","—","—",56620,
"Survival",4,"Line",4,"CMUE-MLE","-0.003538 (0.0003266)","0.07779 (0.0002631)","0.9632 (0.0007913)","0.3204 (0.0001747)",56622,56622
"Survival",4,"Line",4,"CMUE-ZERO","-0.01701 (0.0003345)","0.08140 (0.0002823)","0.9483 (0.0009305)","0.3094 (0.0001768)",56622,56622
"Survival",4,"Line",4,"RB","0.001301 (0.0003433)","0.08169 (0.0002716)","0.9485 (0.0009290)","0.3206 (0.0001463)",56622,56619
"Survival",5,"H0",1,"Stage 2","-0.001342 (0.0009326)","0.1321 (0.0006718)","0.9533 (0.001489)","0.5258 (0.00001224)",20059,20059
"Survival",5,"H0",1,"Naive","-0.02800 (0.0004148)","0.06507 (0.0003889)","0.9383 (0.001698)","0.2367 (0.00003204)",20059,20059
"Survival",5,"H0",1,"CBAE-SI","0.0006883 (0.0004370)","0.06189 (0.0003671)","—","—",20059,
"Survival",5,"H0",1,"CBAE-MI","0.007710 (0.0004501)","0.06421 (0.0003716)","—","—",20059,
"Survival",5,"H0",1,"CMUE-MLE","-0.002811 (0.0004463)","0.06328 (0.0004023)","0.9702 (0.001200)","0.3543 (0.001183)",20059,20059
"Survival",5,"H0",1,"CMUE-ZERO","-0.004723 (0.0004582)","0.06507 (0.0004108)","0.9665 (0.001270)","0.3658 (0.001189)",20059,20059
"Survival",5,"H0",1,"RB","0.0003115 (0.0004609)","0.06527 (0.0003787)","0.9586 (0.001407)","0.2555 (0.00009817)",20059,20056
"Survival",5,"H0",2,"Stage 2","-0.001837 (0.0009481)","0.1337 (0.0006722)","0.9520 (0.001516)","0.5258 (0.00001250)",19873,19873
"Survival",5,"H0",2,"Naive","-0.02849 (0.0004168)","0.06530 (0.0003702)","0.9351 (0.001748)","0.2366 (0.00002831)",19873,19873
"Survival",5,"H0",2,"CBAE-SI","0.0002270 (0.0004389)","0.06187 (0.0003479)","—","—",19873,
"Survival",5,"H0",2,"CBAE-MI","0.007227 (0.0004518)","0.06410 (0.0003527)","—","—",19872,
"Survival",5,"H0",2,"CMUE-MLE","-0.003215 (0.0004483)","0.06327 (0.0003824)","0.9711 (0.001189)","0.3526 (0.001184)",19873,19873
"Survival",5,"H0",2,"CMUE-ZERO","-0.005187 (0.0004604)","0.06510 (0.0003913)","0.9670 (0.001267)","0.3639 (0.001189)",19873,19873
"Survival",5,"H0",2,"RB","-0.0002350 (0.0004620)","0.06513 (0.0003571)","0.9596 (0.001396)","0.2553 (0.00009782)",19873,19867
"Survival",5,"H0",3,"Stage 2","-0.0003912 (0.0009456)","0.1337 (0.0006688)","0.9509 (0.001528)","0.5258 (0.00001254)",19992,19992
"Survival",5,"H0",3,"Naive","-0.02745 (0.0004114)","0.06431 (0.0003685)","0.9388 (0.001695)","0.2366 (0.00002931)",19992,19992
"Survival",5,"H0",3,"CBAE-SI","0.001315 (0.0004342)","0.06141 (0.0003450)","—","—",19992,
"Survival",5,"H0",3,"CBAE-MI","0.008376 (0.0004477)","0.06385 (0.0003491)","—","—",19991,
"Survival",5,"H0",3,"CMUE-MLE","-0.002186 (0.0004429)","0.06267 (0.0003772)","0.9720 (0.001166)","0.3542 (0.001186)",19992,19992
"Survival",5,"H0",3,"CMUE-ZERO","-0.004104 (0.0004543)","0.06436 (0.0003850)","0.9697 (0.001213)","0.3678 (0.001198)",19992,19992
"Survival",5,"H0",3,"RB","0.0009501 (0.0004576)","0.06471 (0.0003517)","0.9598 (0.001389)","0.2554 (0.00009576)",19992,19989
"Survival",5,"H0",4,"Stage 2","-0.002049 (0.0009488)","0.1339 (0.0006783)","0.9496 (0.001549)","0.5259 (0.00001250)",19919,19919
"Survival",5,"H0",4,"Naive","-0.02819 (0.0004139)","0.06486 (0.0003799)","0.9387 (0.001700)","0.2367 (0.00003102)",19919,19919
"Survival",5,"H0",4,"CBAE-SI","0.0005269 (0.0004358)","0.06150 (0.0003522)","—","—",19919,
"Survival",5,"H0",4,"CBAE-MI","0.007590 (0.0004489)","0.06380 (0.0003540)","—","—",19918,
"Survival",5,"H0",4,"CMUE-MLE","-0.002894 (0.0004449)","0.06286 (0.0003844)","0.9719 (0.001171)","0.3530 (0.001186)",19919,19919
"Survival",5,"H0",4,"CMUE-ZERO","-0.004842 (0.0004573)","0.06472 (0.0003976)","0.9684 (0.001240)","0.3645 (0.001187)",19919,19919
"Survival",5,"H0",4,"RB","0.0001368 (0.0004598)","0.06490 (0.0003628)","0.9603 (0.001384)","0.2553 (0.0001016)",19919,19911
"Survival",5,"H1",1,"Stage 2","-0.003327 (0.0008385)","0.1327 (0.0005948)","0.9545 (0.001317)","0.5277 (0.00002597)",25015,25015
"Survival",5,"H1",1,"Naive","-0.04281 (0.0004721)","0.08606 (0.0004670)","0.9247 (0.001668)","0.2837 (0.0001912)",25015,25015
"Survival",5,"H1",1,"CBAE-SI","-0.004703 (0.0004809)","0.07621 (0.0004154)","—","—",25015,
"Survival",5,"H1",1,"CBAE-MI","0.01119 (0.0004843)","0.07739 (0.0003868)","—","—",25005,
"Survival",5,"H1",1,"CMUE-MLE","-0.007806 (0.0004852)","0.07713 (0.0004102)","0.9700 (0.001078)","0.3315 (0.0003128)",25015,25015
"Survival",5,"H1",1,"CMUE-ZERO","-0.03186 (0.0005030)","0.08570 (0.0004590)","0.9383 (0.001521)","0.3223 (0.0003902)",25015,25015
"Survival",5,"H1",1,"RB","0.001958 (0.0005272)","0.08340 (0.0004085)","0.9571 (0.001282)","0.3314 (0.0002454)",25012,25010
"Survival",5,"H1",2,"Stage 2","-0.002428 (0.0008515)","0.1343 (0.0006095)","0.9507 (0.001374)","0.5277 (0.00002624)",24850,24850
"Survival",5,"H1",2,"Naive","-0.04337 (0.0004799)","0.08720 (0.0004784)","0.9238 (0.001683)","0.2839 (0.0001937)",24850,24850
"Survival",5,"H1",2,"CBAE-SI","-0.005387 (0.0004891)","0.07729 (0.0004263)","—","—",24850,
"Survival",5,"H1",2,"CBAE-MI","0.01047 (0.0004927)","0.07836 (0.0003965)","—","—",24846,
"Survival",5,"H1",2,"CMUE-MLE","-0.008515 (0.0004934)","0.07825 (0.0004229)","0.9668 (0.001137)","0.3316 (0.0003158)",24850,24850
"Survival",5,"H1",2,"CMUE-ZERO","-0.03241 (0.0005111)","0.08684 (0.0004709)","0.9355 (0.001558)","0.3218 (0.0003841)",24850,24850
"Survival",5,"H1",2,"RB","0.001152 (0.0005358)","0.08447 (0.0004202)","0.9532 (0.001341)","0.3314 (0.0002481)",24849,24846
"Survival",5,"H1",3,"Stage 2","-0.002410 (0.0008474)","0.1342 (0.0006099)","0.9504 (0.001372)","0.5277 (0.00002620)",25070,25070
"Survival",5,"H1",3,"Naive","-0.04265 (0.0004738)","0.08629 (0.0004738)","0.9233 (0.001680)","0.2837 (0.0001930)",25070,25070
"Survival",5,"H1",3,"CBAE-SI","-0.004632 (0.0004836)","0.07671 (0.0004214)","—","—",25070,
"Survival",5,"H1",3,"CBAE-MI","0.01118 (0.0004876)","0.07799 (0.0003930)","—","—",25061,
"Survival",5,"H1",3,"CMUE-MLE","-0.007674 (0.0004880)","0.07764 (0.0004180)","0.9688 (0.001098)","0.3318 (0.0003158)",25070,25070
"Survival",5,"H1",3,"CMUE-ZERO","-0.03162 (0.0005050)","0.08598 (0.0004659)","0.9361 (0.001545)","0.3218 (0.0003836)",25070,25070
"Survival",5,"H1",3,"RB","0.001993 (0.0005309)","0.08407 (0.0004165)","0.9537 (0.001327)","0.3311 (0.0002443)",25066,25063
"Survival",5,"H1",4,"Stage 2","-0.002571 (0.0008467)","0.1334 (0.0006009)","0.9532 (0.001341)","0.5277 (0.00002609)",24829,24829
"Survival",5,"H1",4,"Naive","-0.04298 (0.0004795)","0.08693 (0.0004942)","0.9247 (0.001675)","0.2838 (0.0001934)",24829,24829
"Survival",5,"H1",4,"CBAE-SI","-0.004869 (0.0004893)","0.07725 (0.0004421)","—","—",24829,
"Survival",5,"H1",4,"CBAE-MI","0.01107 (0.0004930)","0.07846 (0.0004076)","—","—",24824,
"Survival",5,"H1",4,"CMUE-MLE","-0.008018 (0.0004931)","0.07810 (0.0004370)","0.9658 (0.001153)","0.3319 (0.0003194)",24829,24829
"Survival",5,"H1",4,"CMUE-ZERO","-0.03207 (0.0005104)","0.08659 (0.0004868)","0.9362 (0.001551)","0.3217 (0.0003812)",24829,24829
"Survival",5,"H1",4,"RB","0.001763 (0.0005364)","0.08453 (0.0004335)","0.9528 (0.001346)","0.3314 (0.0002470)",24827,24821
"Survival",5,"Peak",1,"Stage 2","-0.002180 (0.001158)","0.1329 (0.0008235)","0.9545 (0.001816)","0.5261 (0.00002540)",13168,13168
"Survival",5,"Peak",1,"Naive","-0.03718 (0.0006170)","0.07997 (0.0005796)","0.9102 (0.002491)","0.2480 (0.0001888)",13168,13168
"Survival",5,"Peak",1,"CBAE-SI","-0.002885 (0.0006093)","0.06998 (0.0005003)","—","—",13168,
"Survival",5,"Peak",1,"CBAE-MI","0.008336 (0.0006111)","0.07061 (0.0004766)","—","—",13165,
"Survival",5,"Peak",1,"CMUE-MLE","-0.007805 (0.0006124)","0.07070 (0.0005194)","0.9733 (0.001404)","0.2855 (0.0005185)",13168,13168
"Survival",5,"Peak",1,"CMUE-ZERO","-0.02117 (0.0006502)","0.07755 (0.0005775)","0.9487 (0.001923)","0.2890 (0.0006167)",13168,13168
"Survival",5,"Peak",1,"RB","0.0006209 (0.0006172)","0.07082 (0.0005440)","0.9557 (0.001793)","0.2811 (0.0002847)",13168,13164
"Survival",5,"Peak",2,"Stage 2","-0.002473 (0.001165)","0.1344 (0.0008277)","0.9514 (0.001864)","0.5261 (0.00002549)",13311,13311
"Survival",5,"Peak",2,"Naive","-0.03675 (0.0006221)","0.08064 (0.0005799)","0.9035 (0.002560)","0.2481 (0.0001883)",13311,13311
"Survival",5,"Peak",2,"CBAE-SI","-0.002586 (0.0006148)","0.07097 (0.0005013)","—","—",13311,
"Survival",5,"Peak",2,"CBAE-MI","0.008588 (0.0006161)","0.07158 (0.0004811)","—","—",13307,
"Survival",5,"Peak",2,"CMUE-MLE","-0.007460 (0.0006170)","0.07158 (0.0005212)","0.9717 (0.001438)","0.2856 (0.0005279)",13311,13311
