"Family","J","Scenario","Selected_group","Method","Bias","RMSE","Coverage","Width","n_point","n_ci"
"Normal",3,"Line",2,"CBAE-MI","-0.03240 (0.001750)","0.1970 (0.001308)","—","—",12326,
"Normal",3,"Line",2,"CMUE-MLE","0.008205 (0.001719)","0.1926 (0.001364)","0.9705 (0.001511)","0.7333 (0.0008060)",12527,12527
"Normal",3,"Line",2,"CMUE-ZERO","0.06084 (0.001770)","0.2072 (0.001401)","0.9311 (0.002263)","0.6841 (0.0007722)",12527,12527
"Normal",3,"Line",2,"RB","-0.001391 (0.001757)","0.1967 (0.001544)","0.9476 (0.001992)","0.7648 (0.0007333)",12527,12527
"Normal",3,"Line",3,"Stage 2","-0.0003575 (0.001548)","0.2579 (0.001084)","0.9502 (0.001305)","1.012 (0)",27754,27754
"Normal",3,"Line",3,"Naive","0.08027 (0.001058)","0.1937 (0.0008043)","0.8156 (0.002328)","0.5424 (0.001193)",27754,27754
"Normal",3,"Line",3,"CBAE-SI","0.01321 (0.001094)","0.1828 (0.0007794)","—","—",27754,
"Normal",3,"Line",3,"CBAE-MI","-0.02698 (0.001160)","0.1947 (0.0008746)","—","—",27627,
"Normal",3,"Line",3,"CMUE-MLE","0.009642 (0.001123)","0.1874 (0.0008999)","0.9710 (0.001007)","0.7239 (0.0005170)",27754,27754
"Normal",3,"Line",3,"CMUE-ZERO","0.05594 (0.001154)","0.2002 (0.0008953)","0.9420 (0.001403)","0.6661 (0.0004376)",27754,27754
"Normal",3,"Line",3,"RB","-0.00002184 (0.001165)","0.1940 (0.0009727)","0.9514 (0.001291)","0.7538 (0.0004809)",27754,27753
"Normal",3,"Line",4,"Stage 2","0.001194 (0.001112)","0.2588 (0.0007866)","0.9507 (0.0009299)","1.012 (0.000000000000000000004095)",54229,54229
"Normal",3,"Line",4,"Naive","0.06354 (0.0007355)","0.1827 (0.0005475)","0.8337 (0.001599)","0.5752 (0.0008845)",54229,54229
"Normal",3,"Line",4,"CBAE-SI","0.007676 (0.0007670)","0.1788 (0.0005592)","—","—",54229,
"Normal",3,"Line",4,"CBAE-MI","-0.02122 (0.0007989)","0.1871 (0.0006134)","—","—",54156,
"Normal",3,"Line",4,"CMUE-MLE","0.004755 (0.0007718)","0.1798 (0.0006155)","0.9663 (0.0007744)","0.7138 (0.0003818)",54229,54229
"Normal",3,"Line",4,"CMUE-ZERO","0.04269 (0.0007809)","0.1868 (0.0006047)","0.9483 (0.0009512)","0.6533 (0.0003219)",54229,54229
"Normal",3,"Line",4,"RB","0.001217 (0.0008175)","0.1904 (0.0006266)","0.9542 (0.0008976)","0.7407 (0.0003171)",54228,54228
"Normal",4,"H0",1,"Stage 2","-0.001063 (0.002003)","0.2827 (0.001425)","0.9502 (0.001542)","1.109 (0.0000000000000000003394)",19920,19920
"Normal",4,"H0",1,"Naive","0.07876 (0.0009599)","0.1567 (0.0008227)","0.8518 (0.002518)","0.5820 (0.001363)",19920,19920
"Normal",4,"H0",1,"CBAE-SI","0.003546 (0.001136)","0.1604 (0.0008995)","—","—",19920,
"Normal",4,"H0",1,"CBAE-MI","-0.04166 (0.001359)","0.1947 (0.001099)","—","—",19578,
"Normal",4,"H0",1,"CMUE-MLE","-0.04123 (0.001525)","0.2191 (0.001319)","0.9565 (0.001445)","0.8223 (0.0009755)",19920,19920
"Normal",4,"H0",1,"CMUE-ZERO","-0.03374 (0.001582)","0.2259 (0.001329)","0.9477 (0.001578)","0.8222 (0.001003)",19920,19920
"Normal",4,"H0",1,"RB","-0.0005624 (0.001555)","0.2195 (0.001267)","0.9571 (0.001435)","0.8483 (0.0008860)",19920,19919
"Normal",4,"H0",2,"Stage 2","-0.0006727 (0.001990)","0.2817 (0.001408)","0.9507 (0.001529)","1.109 (0.0000000000000000003401)",20051,20051
"Normal",4,"H0",2,"Naive","0.07901 (0.0009491)","0.1559 (0.0007834)","0.8516 (0.002511)","0.5817 (0.001372)",20051,20051
"Normal",4,"H0",2,"CBAE-SI","0.003969 (0.001124)","0.1592 (0.0008583)","—","—",20051,
"Normal",4,"H0",2,"CBAE-MI","-0.04141 (0.001353)","0.1944 (0.001098)","—","—",19712,
"Normal",4,"H0",2,"CMUE-MLE","-0.04037 (0.001511)","0.2177 (0.001288)","0.9579 (0.001418)","0.8216 (0.0009693)",20051,20051
"Normal",4,"H0",2,"CMUE-ZERO","-0.03292 (0.001568)","0.2245 (0.001299)","0.9504 (0.001533)","0.8216 (0.0009952)",20051,20051
"Normal",4,"H0",2,"RB","0.0003603 (0.001542)","0.2183 (0.001229)","0.9598 (0.001387)","0.8477 (0.0008813)",20048,20047
"Normal",4,"H0",3,"Stage 2","-0.004059 (0.001980)","0.2805 (0.001380)","0.9537 (0.001484)","1.109 (0.0000000000000000003372)",20052,20052
